id;titre;ville;date_debut;date_fin;jour_entier;group_id;arriere_plan_couleur;texte_couleur;salle;commentaire;matriculecreation;datecreation;matriculemodif;datemodif
1;expedite Bedfordshire;invoice Ball Ergonomic;2020-11-15T04:27:26;2020-11-14T15:55:33;true;e-commerce architectures;upward-trending rich;Florida;Gorgeous Soft Chips;Metal;Outdoors;2020-11-15T00:56:19;Graphic Interface compress;2020-11-15T08:10:02
2;Movies e-services Chicken;XML Vision-oriented teal;2020-11-14T13:05:52;2020-11-15T02:02:42;true;Rand Loti withdrawal Agent;port alarm Associate;Cotton global;deposit;Gorgeous Frozen Metal;Home Loan Account methodologies Seychelles;2020-11-14T12:07:19;Dynamic;2020-11-14T17:26:51
3;Investment Account Falkland Islands Pound;cross-platform;2020-11-14T16:48:08;2020-11-14T15:45:25;false;Ohio;silver incentivize;action-items;transmitting Central;hack Granite Personal Loan Account;azure;2020-11-14T12:07:51;Auto Loan Account Identity back-end;2020-11-15T07:22:29
4;redundant;Rustic Rubber Hat Unbranded;2020-11-15T04:18:42;2020-11-15T00:29:22;false;pixel Fresh extensible;clicks-and-mortar ubiquitous;intuitive Architect Vanuatu;French Southern Territories Investment Account;Agent transmitting;proactive Illinois;2020-11-14T16:22:14;uniform District Pizza;2020-11-14T18:15:31
5;e-business;user-facing envisioneer;2020-11-15T03:37:13;2020-11-14T14:09:16;false;Cayman Islands Dollar Bedfordshire Maryland;static;Shoes SSL;violet 1080p Lake;transmitting ability;value-added deliver Money Market Account;2020-11-14T18:35:06;Montana;2020-11-14T13:28:38
6;Global Function-based;override global Handmade;2020-11-15T00:46:09;2020-11-14T19:43:51;false;payment Clothing;Marketing New Hampshire Bermuda;Wooden Refined Concrete Table auxiliary;Utah target;generating Plaza;Legacy Beauty payment;2020-11-15T03:04:31;Surinam Dollar microchip Practical;2020-11-15T04:19:01
7;Concrete Licensed Plastic Ball;backing up Optimization convergence;2020-11-15T09:20:29;2020-11-15T03:37:47;false;Pizza overriding Small;enable;Buckinghamshire Home Loan Account;product;Administrator Auto Loan Account;wireless;2020-11-14T14:07:51;Checking Account matrix;2020-11-14T14:04:57
8;hard drive deposit Universal;HTTP;2020-11-15T04:32:58;2020-11-15T01:57:58;true;Director Tasty white;e-services relationships Investment Account;SQL;interface auxiliary Turks and Caicos Islands;monitor;integrate withdrawal fresh-thinking;2020-11-14T23:18:43;Forges Regional XSS;2020-11-14T16:16:50
9;synergize;transmitting experiences Bridge;2020-11-15T08:22:57;2020-11-14T22:05:14;false;Product copying;productivity;payment Michigan New Hampshire;dynamic Tasty;Bedfordshire Cotton Assistant;Auto Loan Account;2020-11-14T19:54:21;Cross-group;2020-11-14T16:57:35
10;Personal Loan Account;Licensed Granite Gloves bandwidth-monitored Chicken;2020-11-14T17:02:21;2020-11-15T05:47:50;true;internet solution Cheese;Buckinghamshire Generic visionary;CSS deposit;Metal;Gourde US Dollar;embrace;2020-11-14T22:58:14;port;2020-11-14T17:44:06
