id;nom_appareil;tarif_appareil;tarif_specialite;tarif_consultation;tarif_chambre;tarif_sejour;facture_patient;recette
1;Generic Rubber Chicken Cambridgeshire;84452;47251;77380;1717;1482;61342;27558
2;Indian Rupee Passage;14770;51835;19633;43125;14770;11139;95602
3;Afghani connecting;23555;51130;98196;16224;28250;63470;48673
4;XSS navigating;23861;8302;81775;96735;37410;4304;11215
5;Lock Product;53716;21319;42387;84854;80856;9510;7509
6;Gorgeous Awesome Gourde US Dollar;29825;57118;7962;31945;70792;10928;326
7;Avon dot-com Rustic;28441;356;15845;23775;38216;50200;33079
8;gold communities optimizing;25429;62333;85624;83890;75998;96556;37425
9;integrated Technician;37796;62209;6454;17029;74166;85970;68146
10;Movies hack;80139;3028;45711;63570;768;10306;13831
