id;date_serologie;gr_sang;gr_sang_geni;caryotype;tarif_serologie;autres;rapport
1;2020-11-08T11:23:27;Auto Loan Account Re-contextualized;wireless;Planner;2020-11-08T10:56:42;back-end Computers;Generic
2;2020-11-08T12:37:02;backing up;B2C Books syndicate;Metal Developer;2020-11-08T05:48:22;input;Handmade Investor
3;2020-11-08T19:00:04;synergies Supervisor USB;Garden;robust Auto Loan Account Nicaragua;2020-11-08T06:20:48;Infrastructure Mouse;Money Market Account Gourde US Dollar
4;2020-11-08T05:28:55;Beauty Bahamian Dollar integrated;Product Forks;Shoes leading edge;2020-11-07T23:18:28;Money Market Account;Baby models
5;2020-11-08T18:04:51;Baby;eco-centric;Kuwaiti Dinar RSS Pula;2020-11-08T19:16:07;customized Delaware Programmable;black cross-media
6;2020-11-08T08:52:31;sensor;Buckinghamshire parse task-force;Illinois;2020-11-08T18:23:23;Islands revolutionize;microchip Plaza deposit
7;2020-11-08T09:33:11;Toys optical Colorado;bandwidth;withdrawal;2020-11-08T06:07:41;e-business;Refined Wooden Bacon supply-chains Money Market Account
8;2020-11-08T15:36:06;implement;Coordinator;strategic Lek;2020-11-08T03:00:53;parse Research Bedfordshire;Beauty
9;2020-11-08T12:45:39;payment Ergonomic Cotton Shirt extend;payment groupware;SMTP frictionless e-markets;2020-11-08T16:50:11;Ergonomic Steel Pizza;Alley
10;2020-11-08T11:42:33;Cambridgeshire Books Investor;encryption bricks-and-clicks website;Customer Associate;2020-11-08T15:19:31;Global;Mongolia Berkshire
